family_id,husband_id,wife_id,genealogy_id,marriage_year
1,1,2,1,1521
2,3,7,1,1546
3,4,9,1,1549
4,5,11,1,1553
5,15,6,1,1554
6,20,8,1,1570
7,10,22,1,1583
8,12,25,1,1577
9,13,27,1,1585
10,31,14,1,1573
11,35,16,1,1576
12,38,17,1,1583
13,18,43,1,1583
14,19,45,1,1574
15,21,50,1,1601
16,23,54,1,1611
17,24,59,1,1613
18,26,64,1,1606
19,68,28,1,1619
20,29,73,1,1611
21,30,76,1,1610
22,79,32,1,1604
23,84,33,1,1600
24,89,34,1,1615
25,92,36,1,1607
26,37,97,1,1599
27,99,39,1,1619
28,40,101,1,1615
29,105,41,1,1627
30,42,109,1,1605
31,44,114,1,1609
32,117,46,1,1604
33,121,47,1,1602
34,124,48,1,1606
35,49,126,1,1602
36,51,129,1,1623
37,134,52,1,1627
38,138,53,1,1629
39,143,55,1,1627
40,56,147,1,1641
41,57,152,1,1628
42,155,58,1,1627
43,60,160,1,1634
44,61,162,1,1642
45,166,62,1,1632
46,63,169,1,1641
47,172,65,1,1641
48,66,176,1,1643
49,67,181,1,1639
50,69,185,1,1644
51,187,70,1,1651
52,191,71,1,1649
53,196,72,1,1644
54,200,74,1,1622
55,75,203,1,1640
56,207,77,1,1643
57,209,78,1,1638
58,214,80,1,1637
59,81,218,1,1639
60,223,82,1,1639
61,227,83,1,1643
62,232,85,1,1636
63,236,86,1,1636
64,87,241,1,1639
65,88,245,1,1629
66,90,247,1,1633
67,91,249,1,1643
68,253,93,1,1649
69,94,258,1,1637
70,95,261,1,1629
71,264,96,1,1627
72,98,268,1,1631
73,273,100,1,1649
74,278,102,1,1640
75,283,103,1,1646
76,104,288,1,1647
77,106,292,1,1652
78,296,107,1,1647
79,108,301,1,1654
80,110,303,1,1637
81,307,111,1,1638
82,310,112,1,1632
83,314,113,1,1639
84,317,115,1,1644
85,116,320,1,1630
86,323,118,1,1633
87,327,119,1,1617
88,120,330,1,1629
89,333,122,1,1644
90,123,338,1,1624
91,125,340,1,1627
92,344,127,1,1634
93,128,347,1,1632
94,351,130,1,1653
95,131,356,1,1653
96,361,132,1,1647
97,133,365,1,1659
98,370,135,1,1644
99,373,136,1,1658
100,137,378,1,1645
101,139,383,1,1650
102,140,385,1,1648
103,387,141,1,1649
104,390,142,1,1644
105,392,144,1,1661
106,394,145,1,1650
107,398,146,1,1651
108,403,148,1,1673
109,149,405,1,1669
110,408,150,1,1671
111,151,411,1,1669
112,153,414,1,1660
113,416,154,1,1661
114,156,419,1,1666
115,157,423,1,1644
116,158,425,1,1660
117,159,427,1,1656
118,430,161,1,1660
119,163,432,1,1680
120,436,164,1,1667
121,441,165,1,1662
122,167,443,1,1663
123,168,445,1,1666
124,170,447,1,1680
125,452,171,1,1672
126,173,455,1,1658
127,460,174,1,1684
128,175,464,1,1662
129,177,466,1,1656
130,178,471,1,1669
131,475,179,1,1675
132,180,480,1,1672
133,483,182,1,1675
134,183,487,1,1667
135,184,489,1,1666
136,491,186,1,1672
137,188,494,1,1678
138,189,499,1,1685
139,190,504,1,1675
140,509,192,1,1674
141,193,511,1,1665
142,514,194,1,1669
143,195,517,1,1669
144,520,197,1,1662
145,198,524,1,1661
146,199,529,1,1676
147,201,534,1,1654
148,539,202,1,1662
149,204,542,1,1660
150,546,205,1,1653
151,206,548,1,1663
152,208,552,1,1661
153,555,210,1,1660
154,560,211,1,1669
155,212,565,1,1660
156,568,213,1,1662
157,215,573,1,1659
158,575,216,1,1673
159,217,577,1,1662
160,219,582,1,1672
161,220,584,1,1658
162,587,221,1,1667
163,222,592,1,1660
164,594,224,1,1666
165,597,225,1,1659
166,602,226,1,1651
167,607,228,1,1655
168,609,229,1,1659
169,614,230,1,1666
170,616,231,1,1660
171,233,619,1,1669
172,234,622,1,1669
173,235,625,1,1664
174,630,237,1,1653
175,634,238,1,1652
176,636,239,1,1649
177,640,240,1,1643
178,645,242,1,1660
179,650,243,1,1672
180,655,244,1,1665
181,657,246,1,1655
182,660,248,1,1669
183,250,664,1,1662
184,667,251,1,1665
185,252,671,1,1674
186,254,673,1,1685
187,255,676,1,1674
188,678,256,1,1662
189,257,682,1,1684
190,259,687,1,1667
191,690,260,1,1672
192,262,692,1,1653
193,697,263,1,1669
194,700,265,1,1672
195,266,702,1,1672
196,267,707,1,1656
197,709,269,1,1673
198,714,270,1,1648
199,717,271,1,1661
200,722,272,1,1662
201,725,274,1,1684
202,729,275,1,1677
203,276,734,1,1684
204,736,277,1,1682
205,279,741,1,1682
206,745,280,1,1673
207,281,749,1,1673
208,282,752,1,1675
209,756,284,1,1674
210,285,760,1,1679
211,286,765,1,1680
212,287,769,1,1677
213,289,773,1,1661
214,290,776,1,1677
215,291,781,1,1670
216,786,293,1,1680
217,294,789,1,1679
218,295,791,1,1674
219,297,793,1,1683
220,798,298,1,1685
221,801,299,1,1684
222,806,300,1,1686
223,302,810,1,1685
224,813,304,1,1657
225,818,305,1,1670
226,820,306,1,1661
227,308,824,1,1665
228,309,827,1,1670
229,830,311,1,1666
230,312,834,1,1669
231,838,313,1,1670
232,315,840,1,1650
233,845,316,1,1662
234,849,318,1,1667
235,852,319,1,1670
236,857,321,1,1663
237,861,322,1,1658
238,324,864,1,1669
239,325,868,1,1671
240,326,870,1,1667
241,328,873,1,1653
242,329,877,1,1657
243,331,879,1,1660
244,332,884,1,1654
245,889,334,1,1667
246,335,894,1,1671
247,898,336,1,1673
248,337,900,1,1675
249,905,339,1,1647
250,909,341,1,1660
251,342,911,1,1667
252,343,914,1,1656
253,345,918,1,1671
254,921,346,1,1665
255,348,925,1,1656
256,349,928,1,1663
257,350,932,1,1667
258,937,352,1,1683
259,942,353,1,1682
260,354,944,1,1679
261,948,355,1,1686
262,357,953,1,1675
263,358,956,1,1672
264,960,359,1,1683
265,964,360,1,1686
266,966,362,1,1672
267,968,363,1,1674
268,970,364,1,1681
269,366,974,1,1700
270,367,978,1,1692
271,980,368,1,1682
272,982,369,1,1691
273,371,985,1,1681
274,372,990,1,1676
275,995,374,1,1693
276,999,375,1,1679
277,376,1001,1,1674
278,377,1004,1,1677
279,1006,379,1,1674
280,380,1011,1,1666
281,381,1013,1,1669
282,382,1018,1,1666
283,1021,384,1,1675
284,386,1023,1,1678
285,388,1026,1,1667
286,1030,389,1,1678
287,391,1033,1,1667
288,393,1035,1,1683
289,1038,395,1,1681
290,396,1040,1,1678
291,1044,397,1,1673
292,399,1047,1,1685
293,1052,400,1,1691
294,1057,401,1,1674
295,1061,402,1,1683
296,404,1063,1,1702
297,1067,406,1,1694
298,407,1070,1,1693
299,1075,409,1,1699
300,1077,410,1,1705
301,1082,412,1,1707
302,413,1087,1,1700
303,1091,415,1,1694
304,1093,417,1,1680
305,1097,418,1,1692
306,420,1099,1,1680
307,1102,421,1,1675
308,422,1105,1,1693
309,424,1107,1,1673
310,1111,426,1,1682
311,1116,428,1,1696
312,429,1119,1,1694
313,431,1124,1,1681
314,1129,433,1,1708
315,1131,434,1,1696
316,435,1133,1,1709
317,437,1135,1,1703
318,438,1137,1,1690
319,1141,439,1,1691
320,440,1146,1,1699
321,442,1148,1,1687
322,444,1151,1,1692
323,1153,446,1,1703
324,448,1155,1,1697
325,1158,449,1,1703
326,1162,450,1,1700
327,451,1165,1,1696
328,1170,453,1,1708
329,1172,454,1,1707
330,456,1175,1,1691
331,1180,457,1,1685
332,458,1185,1,1684
333,459,1188,1,1697
334,1192,461,1,1704
335,1194,462,1,1698
336,463,1198,1,1714
337,1202,465,1,1690
338,467,1205,1,1679
339,468,1210,1,1688
340,1215,469,1,1686
341,1220,470,1,1692
342,472,1223,1,1687
343,1227,473,1,1683
344,1231,474,1,1694
345,1235,476,1,1692
346,477,1238,1,1702
347,1240,478,1,1707
348,479,1242,1,1688
349,481,1244,1,1698
350,482,1248,1,1694
351,484,1251,1,1694
352,485,1256,1,1711
353,486,1260,1,1708
354,488,1262,1,1686
355,1265,490,1,1702
356,492,1267,1,1695
357,1272,493,1,1701
358,495,1277,1,1709
359,496,1282,1,1708
360,497,1285,1,1708
361,498,1289,1,1712
362,500,1294,1,1706
363,501,1297,1,1713
364,1301,502,1,1717
365,503,1305,1,1713
366,1307,505,1,1703
367,1309,506,1,1691
368,507,1313,1,1713
369,1315,508,1,1693
370,510,1320,1,1709
371,1324,512,1,1687
372,513,1329,1,1688
373,515,1332,1,1706
374,516,1335,1,1714
375,518,1338,1,1700
376,1340,519,1,1700
377,521,1342,1,1683
378,522,1345,1,1698
379,523,1347,1,1691
380,1350,525,1,1692
381,526,1355,1,1688
382,527,1359,1,1689
383,1363,528,1,1683
384,530,1367,1,1698
385,1372,531,1,1693
386,1376,532,1,1696
387,533,1381,1,1707
388,535,1385,1,1679
389,536,1390,1,1690
390,537,1392,1,1684
391,538,1396,1,1693
392,540,1399,1,1685
393,541,1401,1,1682
394,1405,543,1,1692
395,1407,544,1,1686
396,545,1410,1,1688
397,1414,547,1,1694
398,549,1416,1,1682
399,1420,550,1,1675
400,1422,551,1,1689
401,553,1425,1,1699
402,554,1427,1,1688
403,1432,556,1,1686
404,557,1436,1,1687
405,558,1438,1,1681
406,559,1443,1,1687
407,561,1446,1,1692
408,562,1450,1,1686
409,1454,563,1,1692
410,1457,564,1,1689
411,566,1460,1,1685
412,1462,567,1,1691
413,569,1465,1,1702
414,1468,570,1,1693
415,1471,571,1,1683
416,572,1475,1,1701
417,574,1480,1,1689
418,1482,576,1,1698
419,578,1486,1,1697
420,579,1489,1,1682
421,1494,580,1,1692
422,1496,581,1,1694
423,1500,583,1,1698
424,585,1502,1,1690
425,1507,586,1,1688
426,1511,588,1,1690
427,1514,589,1,1705
428,590,1517,1,1682
429,1522,591,1,1691
430,1524,593,1,1690
431,595,1527,1,1696
432,596,1529,1,1697
433,1533,598,1,1681
434,599,1538,1,1674
435,600,1543,1,1668
436,1546,601,1,1676
437,1551,603,1,1685
438,604,1556,1,1686
439,605,1558,1,1674
440,1563,606,1,1681
441,608,1565,1,1688
442,610,1569,1,1691
443,611,1572,1,1685
444,612,1577,1,1681
445,1579,613,1,1688
446,615,1583,1,1699
447,1587,617,1,1687
448,618,1591,1,1686
449,1595,620,1,1708
450,1598,621,1,1699
451,623,1601,1,1689
452,1604,624,1,1697
453,626,1608,1,1699
454,1613,627,1,1686
455,628,1615,1,1688
456,629,1617,1,1686
457,631,1622,1,1686
458,632,1625,1,1688
459,1629,633,1,1694
460,635,1631,1,1678
461,1636,637,1,1676
462,638,1641,1,1677
463,1644,639,1,1663
464,641,1647,1,1682
465,642,1651,1,1674
466,643,1654,1,1674
467,1658,644,1,1692
468,646,1663,1,1689
469,647,1665,1,1699
470,1670,648,1,1687
471,649,1672,1,1695
472,651,1675,1,1688
473,652,1680,1,1692
474,1684,653,1,1695
475,654,1688,1,1707
476,1690,656,1,1695
477,1695,658,1,1678
478,1697,659,1,1682
479,661,1699,1,1688
480,662,1703,1,1693
481,1705,663,1,1687
482,1708,665,1,1683
483,666,1712,1,1691
484,1715,668,1,1685
485,669,1720,1,1688
486,1722,670,1,1693
487,672,1724,1,1697
488,674,1726,1,1711
489,675,1728,1,1707
490,1731,677,1,1696
491,679,1736,1,1696
492,680,1738,1,1693
493,1743,681,1,1691
494,683,1748,1,1705
495,1753,684,1,1701
496,1755,685,1,1703
497,1759,686,1,1702
498,688,1764,1,1698
499,1766,689,1,1688
500,1768,691,1,1708
501,1772,693,1,1680
502,694,1776,1,1671
503,695,1781,1,1674
504,1783,696,1,1672
505,1788,698,1,1698
506,1790,699,1,1685
507,701,1792,1,1695
508,1795,703,1,1693
509,1800,704,1,1696
