user_id,genealogy_id,role,joined_at
1,1,creator,2026-05-11T18:19:25
2,1,editor,2026-05-11T18:19:25
3,1,editor,2026-05-11T18:19:25
2,2,creator,2026-05-11T18:19:28
3,3,creator,2026-05-11T18:19:31
1,3,editor,2026-05-11T18:19:31
4,4,creator,2026-05-11T18:19:32
5,5,creator,2026-05-11T18:19:33
2,5,editor,2026-05-11T18:19:33
6,6,creator,2026-05-11T18:19:35
7,7,creator,2026-05-11T18:19:36
1,7,editor,2026-05-11T18:19:36
3,7,editor,2026-05-11T18:19:36
8,8,creator,2026-05-11T18:19:36
9,9,creator,2026-05-11T18:19:37
5,9,editor,2026-05-11T18:19:37
10,10,creator,2026-05-11T18:19:37
1,11,creator,2026-05-11T18:19:38
4,11,editor,2026-05-11T18:19:38
2,12,creator,2026-05-11T18:19:38
